student_id,question,sim_to_ai_max,sim_to_ai_mean,best_ref_id
S001,Q1,0.0,0.0,
S001,Q2,0.0,0.0,
S001,Q3,0.0,0.0,
S001,Q4,0.0,0.0,
S001,Q5,0.0,0.0,
S002,Q1,0.0,0.0,
S002,Q2,0.0,0.0,
S002,Q3,0.0,0.0,
S002,Q4,0.0,0.0,
S002,Q5,0.0,0.0,
S003,Q1,0.0,0.0,
S003,Q2,0.0,0.0,
S003,Q3,0.0,0.0,
S003,Q4,0.0,0.0,
S003,Q5,0.0,0.0,
S004,Q1,0.0,0.0,
S004,Q2,0.0,0.0,
S004,Q3,0.0,0.0,
S004,Q4,0.0,0.0,
S004,Q5,0.0,0.0,
S005,Q1,0.0,0.0,
S005,Q2,0.0,0.0,
S005,Q3,0.0,0.0,
S005,Q4,0.0,0.0,
S005,Q5,0.0,0.0,
S006,Q1,0.0,0.0,
S006,Q2,0.0,0.0,
S006,Q3,0.0,0.0,
S006,Q4,0.0,0.0,
S006,Q5,0.0,0.0,
S007,Q1,0.0,0.0,
S007,Q2,0.0,0.0,
S007,Q3,0.0,0.0,
S007,Q4,0.0,0.0,
S007,Q5,0.0,0.0,
S008,Q1,0.0,0.0,
S008,Q2,0.0,0.0,
S008,Q3,0.0,0.0,
S008,Q4,0.0,0.0,
S008,Q5,0.0,0.0,
S009,Q1,0.0,0.0,
S009,Q2,0.0,0.0,
S009,Q3,0.0,0.0,
S009,Q4,0.0,0.0,
S009,Q5,0.0,0.0,
S010,Q1,0.0,0.0,
S010,Q2,0.0,0.0,
S010,Q3,0.0,0.0,
S010,Q4,0.0,0.0,
S010,Q5,0.0,0.0,
